address,total_rewards
0x9afc8ef233e2793b2b90ca5d70ca2e7098013142,593813
0x63AEf7616882F488BCa97361d1c24F05B4657ae5,343118
0xc82ec0f3c834d337c51c9375a1c0a65ce7aadaec,331005
0x6fb0dfb34a659924f86eea133e726e82d7dd3b42,313900
0xb8CA9EA80F51307A26f354B462FC226349505dAE,306433
0xe9e284277648fcdb09b8efc1832c73c09b5ecf59,298449
0x86b234a86d57e707fbe1a406780941fdab6690a5,289096
0x6aE3A277332606ae46bA194e3952b29C20302066,282437
0x55Fa13b0Ed6502243ff69707FfbC2Ef4c77d3555,235683
0xc9254438853e6bb319ebca62aefcccf708898730,190977
0x58eeabc0cb387118ee0e5c43a29ad8f6eaf6fd96,178797
0x42c29b7c9a62c791a51581084c78465f1699d9de,150137
0xacff0b070d98ea4466e055634944b1b0237408a6,118455
0x94b3ed13a89d89e3ad855864b309d2c944fcd310,110665
0x94ee0ca3e550f3f5d348df8a2bc4b253a1f57dc3,107651
0xa1d262e7783187f74fcd771ed5f34f745505f60f,101504
0xc5e624d6824e626a6f14457810e794e4603cfee2,101063
0x0874bc1383958e2475df73dc68c4f09658e23777,100397
0x61a61d776966ad41ced0c3008b3f5e4fd50b339c,98755
0xe6f863571e48afc3b5df761639a7aec9104cfb15,92476
0xad4d23c1a11fec5a5b1c3c8fe01100afe9e9413c,86173
0xb85b15197f0d827fe7350c45400dbafe850e54f9,86083
0x3a00b186162de157f74a694b79fde9ae27baa570,82938
0xcab8fad7eb11c59e7537c7d61a9950755ae0e050,81743
0x7d8566fb609b311dee6609b98377d7c337b44c5e,81071
0xa7ca3fab938e598b824088a9a7ec0a7118120b91,79840
0x8e2ee3400af08b6767cb7db17d58471816f9c157,79108
0x73f558568b6ba65c93863c0a4e9b76413b5b291a,75339
0x67dfe0230621754df1a477a1e6399dbb2e944f08,69148
0xcb469d51b82723dd7b3e3f0b230692025c391d47,68735
0xb000357a4032edbf088937a283e945a379199e33,67603
0xde2cd52f001a919cd34bf98ca3c4b63fb5f5800a,66535
0xc8f73804744246bd47cafe58ec656431208c18aa,65019
0xdeb9151d8197565ba1c6be9f85cd4ca4a30e491c,63692
0x17fe98a222c41217c51c823352537dc542ad06ef,60050
0x595413e38bc847eb5dc2738cef764ea2c76a6ff3,59772
0xfa6c96b41c70b326e98c5e17ffa6ae86577ac292,58949
0x6631c780ab25c77b5cd597561ee0fcc3dcee3239,58357
0x9b047990ccf23bdb9da1162345d5fe5a599b3067,54143
