address,total_rewards
0xc5e624d6824e626a6f14457810e794e4603cfee2,3797743
0x63AEf7616882F488BCa97361d1c24F05B4657ae5,3351215
0xf7ae622C77D0580f02Bcb2f92380d61e3F6e466c,2708363
0x0874bc1383958e2475df73dc68c4f09658e23777,987583
0x8287928a809346df4cd53a096025a1136f7c4ff5,951635
0x8ddb908c77ccc9cfde28ddf84311cb6fdf3f3125,899140
0xca2229dd9b45ca69e85fd7119b2df292bc4b8efb,831699
0x55Fa13b0Ed6502243ff69707FfbC2Ef4c77d3555,717541
0xc8f73804744246bd47cafe58ec656431208c18aa,613145
0xf058ccfb2324310c33e8fd9a1dda8e99c8beda59,562877
0x6dda3d258e21abc37668e82ae543e8c77567f220,331649
0x353bcf04a48c590264bb27f906db24e1eace18ed,315034
0xc2212098ade1999aa66cae2fc9b398e87aa9643e,305541
0xeC5b553E964B0b720703EF80F0F36F0E5Ec3e61C,294645
0xcCA877408c68878EA02Afd1C441cDaaA05d061f1,294490
0x45636ccfbd84c2e6cd7a17722679456dad55d954,287083
0x9b047990ccf23bdb9da1162345d5fe5a599b3067,267164
0x17fe98a222c41217c51c823352537dc542ad06ef,226081
0x732e1e1075800da206ae0abd0abb13a9aa8278aa,167136
0xdac976629020966a03ed95f19d0db8f3a8a7215a,144065
0x3d726623456e34e8a7f5567f6249ec4d72cc3595,129281
0x59b89d8d636aa06e5827b2d5ca007c397357152e,111387
0x2fa5476d102cce87357de77c128b263d9b98392f,99564
0x1e9673315e0ada0db640c299ddd2a1d81d220180,94275
0xacff0b070d98ea4466e055634944b1b0237408a6,91364
0x7f0e5488a651c08f84df8e4088303c94c58a728b,89482
0x595413e38bc847eb5dc2738cef764ea2c76a6ff3,86974
0x87381144e4c119a8a453a9cd7cd513539e3bd886,81637
0x97a635d5d7690b4f88a4a983a3c5b8733243d4aa,75142
0x9b3853cc5734f18ab95e99e6fa4e7fb5da1e1186,68715
0x7263c09df9a22babeffd83e26414912184956e4e,65902
0x541b25ece863c085c37ea2db2dff506c95bd3236,55910
0xc040162069fee0485572aad993149b6df9d7ff76,53042
0x5627fa7883e7ed4790b8839e55fbaac79d43104d,50612
0xf1dbdc482cb7730c86db25266d3faddf8d3a13b2,49246
0x20bfbc40fcd9f296a209feb86724bf1185d2bbe6,47653
0x08d03c053a54374dd3e2fe8d240af85c7ffb2088,47403
0xcb6172196bbcf5b4cf9949d7f2e4ee802ef2b81d,47206
0xe6403fdff818a6f96d337ff90f7565468fa03e80,45828
0xbae7fb168206d12152980162dd9f96dc7d5d2e8a,43133
0x2fa676f4d6bdbba48a52069c58a986b9b9efe3fe,40436
0x6498ed4e7577584a59e621e42de4ed0dce80c136,39389
0xd1a0931de7a002d0d47117404bcbb3443fafb618,39306
0x0c56b39184e22249e35efcb9394872f0d025256b,38000
0x6d81ab59cbb1f757b0346099b1c5bbf4a9bc2852,33198
0xfb6f219e4ea306d37fc842675dc5d9510d46cb60,33151
0x6598feb8a2992c794e1c8167fd88e67bc64b88e0,32819
0x0004f536eb5212391f236b83e298f608063cc593,32437
0x24b693822a0abe8e2cb9b4dde29e4cbefdf09814,31152
0x51b941ff999a213142121322bc07fe47dff09e78,31121
0xdb754a4f8ca0cbb2330a0a027a13f54884531e67,30685
0x8146bb51a52f6a06af8c6071be6acaf16ef438e4,28402
0x0eb68ade962a67aba73328769e02e1ae7be7f6f7,28045
0x2bd97a82219657f234f7925de5a06f0cb342e2ab,27650
0x3536e3a482ad1e419c090ad62b0028ed66ae15f9,27563
0xdced13066db99327a415643a808f8c41efbb4d4e,27442
0x51334a767a967b9edbf0886e9b943ed77a6ff3cb,26771
0x18085025c2269d74d84e4d2c490f207814b72f70,26228
0x29741ff6a136fa89c95c8701b32d7c07b838eadc,23592
0x876714b05d98fe2e651dfa6e956ae99c9cae9c3c,23488
0x2d8771c600119bbd21bcb4d312db78e706cc1b96,23255
0xd33d36cb47e8853abe9e3ac8e229f7bdc7e05ffd,21011
0x7ad14502fb36d1567647cd626f091b96eda4858d,20503
0x7d8566fb609b311dee6609b98377d7c337b44c5e,20423
0xcdb1024a7c87f416ddf8f011f5813c685de441cd,20254
0x67dfe0230621754df1a477a1e6399dbb2e944f08,19889
0xaa433bce2abacb6bd7c53947c6ba49c9cf06fdfa,19576
0xba29160b15322a81a5bc94e7e78cd8f5d3ba5958,19202
0xb7a0d28fe88e8f5bd690dd5bc558fbe679dde0e6,18364
0x1cb58cfd33587131369d7db48120ba568a1e61d9,18064
0xca03bd2be080c8fdaa5106cf164a1a13aae0fcd0,17789
0x6e275ec6cc5e36d97879c4f24159df4e4b2dae10,17628
0xe02e1a292fbd4a5bd353003eb9f20d6bf64ce959,17513
0x3984f5d2e988b76e87282f53c7c46a165a5f108b,17386
0x0c2e2f6f1041599a0ab2ac27ced05da37de742ff,17383
0x96a66500baaf982191f1b81416fd43cfb6f23087,17332
0x8e14e787665cd7d81bc624cae383e17ca1a2f752,17147
0x8025c0868813bd2f76b2f66c064dbe313071d244,17111
0xdd4fb73debfdaca2765f5698b83f7ad81caa32ed,17067
0xc8e6088387709a26bbfb6175ca3c59cd58751764,16977
0x9b14ebcdbdaee6a46b78493475fcf1277278d3b3,16755
0x871169022e4f16d5c04bd3d84a823c16474f14de,16473
0xaf2788c6b3b080fc7e6efe1c4ef861ab087a0589,16080
0x9360d77321e9e5bac26617a09b2737d37cb48a2e,15550
0xc17cafa9d53398e135c6d9a28162b619b154573b,15507
0x8e24baaaccc39a1991cdf4182afe350adcf87150,15314
0x14127376dc2b0c23036764db1e12e7efd9645566,15307
0x2c59626f0c1b6c06d1bfd6192e92555e339a5393,14927
0xfb66e7d2e9da45a2b74b18203114e27aab880132,14591
0x925558e25833411f3a63e0eddc256d564ad39dcd,14449
0xf06038de471ad178c53b8a1d88ddf44bf6c0a1dd,14423
0xcfb0a1637e9af76a544b3066a9ad24d935fcbe0e,14326
0xbf23bb178502f31c08cabe0227df1e0f70495501,14016
0xe352951eafc333c3af7ecfdc28995d6145e819c9,13767
0x2e8b100471419ef5cf6440daa69b4171d1ede352,13071
0x2b3fbd3fa6cc322bf2cd9fb58faf540466b395b7,12891
0x3f17d304ab0f0db2721a6b05cf2b2de15b1840db,12797
0xdf8a3460d5e2cfa33c8aa296c5c52ea966f2dfde,12707
