address,total_rewards
0xae4e8fcbd07459789d6126b1917746d66db7ea0c,4192083
0x93b8ce5ec9a8713a1f560e4741ffc5616f7bab61,3088043
0xc5e624d6824e626a6f14457810e794e4603cfee2,2203896
0x63aef7616882f488bca97361d1c24f05b4657ae5,1795539
0x8ddb908c77ccc9cfde28ddf84311cb6fdf3f3125,1111216
0xf7ae622c77d0580f02bcb2f92380d61e3f6e466c,774693
0x0874bc1383958e2475df73dc68c4f09658e23777,671060
0xca2229dd9b45ca69e85fd7119b2df292bc4b8efb,565430
0xc8f73804744246bd47cafe58ec656431208c18aa,555651
0x0c56b39184e22249e35efcb9394872f0d025256b,496890
0x3d726623456e34e8a7f5567f6249ec4d72cc3595,492792
0xf0db4646e4be8e2094cd6d7c6d253a87eec7af58,442439
0x55fa13b0ed6502243ff69707ffbc2ef4c77d3555,387818
0xcca877408c68878ea02afd1c441cdaaa05d061f1,251735
0x6dda3d258e21abc37668e82ae543e8c77567f220,250594
0xf058ccfb2324310c33e8fd9a1dda8e99c8beda59,227370
0xec5b553e964b0b720703ef80f0f36f0e5ec3e61c,226254
0xc2212098ade1999aa66cae2fc9b398e87aa9643e,220021
0xd94f00aa2904b3e2b84ef4e665e2b3e80e1a450f,216695
0x45636ccfbd84c2e6cd7a17722679456dad55d954,214580
0xbd74dcece6657eac00e55c442220319da39206c1,212804
0x17fe98a222c41217c51c823352537dc542ad06ef,210955
0xe9e284277648fcdb09b8efc1832c73c09b5ecf59,209362
0x6ae3a277332606ae46ba194e3952b29c20302066,201238
0x86b234a86d57e707fbe1a406780941fdab6690a5,196192
0x1aaf9df7f4fa989b30355d460a5ef3f484efbd1c,152860
0x59b89d8d636aa06e5827b2d5ca007c397357152e,149441
0x7263c09df9a22babeffd83e26414912184956e4e,128856
0x732e1e1075800da206ae0abd0abb13a9aa8278aa,125697
0xacff0b070d98ea4466e055634944b1b0237408a6,124946
0x94b3ed13a89d89e3ad855864b309d2c944fcd310,123122
