address,total_rewards
0x63AEf7616882F488BCa97361d1c24F05B4657ae5,3156965
0xc5e624d6824e626a6f14457810e794e4603cfee2,2067402
0xf7ae622C77D0580f02Bcb2f92380d61e3F6e466c,2003313
0x8287928a809346df4cd53a096025a1136f7c4ff5,731714
0x0874bc1383958e2475df73dc68c4f09658e23777,711936
0x55Fa13b0Ed6502243ff69707FfbC2Ef4c77d3555,648374
0xf058ccfb2324310c33e8fd9a1dda8e99c8beda59,630093
0x9afc8ef233e2793b2b90ca5d70ca2e7098013142,543055
0xc82ec0f3c834d337c51c9375a1c0a65ce7aadaec,440908
0xc8f73804744246bd47cafe58ec656431208c18aa,412847
0xca2229dd9b45ca69e85fd7119b2df292bc4b8efb,387096
0xcab8fad7eb11c59e7537c7d61a9950755ae0e050,276093
0x6dda3d258e21abc37668e82ae543e8c77567f220,254116
0x6fb0dfb34a659924f86eea133e726e82d7dd3b42,222312
0xe9e284277648fcdb09b8efc1832c73c09b5ecf59,221618
0xcCA877408c68878EA02Afd1C441cDaaA05d061f1,221601
0xb8CA9EA80F51307A26f354B462FC226349505dAE,221598
0x86b234a86d57e707fbe1a406780941fdab6690a5,210522
0x6aE3A277332606ae46bA194e3952b29C20302066,210510
0xc2212098ade1999aa66cae2fc9b398e87aa9643e,210510
0xeC5b553E964B0b720703EF80F0F36F0E5Ec3e61C,210510
0x45636ccfbd84c2e6cd7a17722679456dad55d954,206622
0xcb6172196bbcf5b4cf9949d7f2e4ee802ef2b81d,188256
0x0c2e2f6f1041599a0ab2ac27ced05da37de742ff,130903
0xdac976629020966a03ed95f19d0db8f3a8a7215a,122843
0x595413e38bc847eb5dc2738cef764ea2c76a6ff3,112493
0x7f0e5488a651c08f84df8e4088303c94c58a728b,99521
0x69f1e459917b8625b244bdb8e45478d11bcdc8db,90376
0x2fa5476d102cce87357de77c128b263d9b98392f,88353
0x42c29b7c9a62c791a51581084c78465f1699d9de,78512
0x1e9673315e0ada0db640c299ddd2a1d81d220180,74474
0x7d8566fb609b311dee6609b98377d7c337b44c5e,74412
0x94ee0ca3e550f3f5d348df8a2bc4b253a1f57dc3,74061
0xa1d262e7783187f74fcd771ed5f34f745505f60f,73680
0x732e1e1075800da206ae0abd0abb13a9aa8278aa,72716
0xe6403fdff818a6f96d337ff90f7565468fa03e80,71277
0x8fffb9d239ef30b028b69b1d579fce787a71dcf6,70968
0xcb469d51b82723dd7b3e3f0b230692025c391d47,69781
0x3a00b186162de157f74a694b79fde9ae27baa570,68626
0xe6f863571e48afc3b5df761639a7aec9104cfb15,67095
0xad4d23c1a11fec5a5b1c3c8fe01100afe9e9413c,62568
0x2582e9808b0d78224bd6ddca5a4bdbc579f7d7b2,62063
0x8e2ee3400af08b6767cb7db17d58471816f9c157,60651
0x5627fa7883e7ed4790b8839e55fbaac79d43104d,58650
0xb000357a4032edbf088937a283e945a379199e33,57834
0x6631c780ab25c77b5cd597561ee0fcc3dcee3239,53771
0x73f558568b6ba65c93863c0a4e9b76413b5b291a,50237
0x3d726623456e34e8a7f5567f6249ec4d72cc3595,49580
0x87381144e4c119a8a453a9cd7cd513539e3bd886,49353
0xdeb9151d8197565ba1c6be9f85cd4ca4a30e491c,48829
0xe9a94ff71f8d91f66783dee373229db25751e47e,48011
0xfa6c96b41c70b326e98c5e17ffa6ae86577ac292,42792
0x109b9ed94bc43267f79a33404997e2657a8a1010,41444
0x4055482885cf493dd38d640b436f5530218f84ba,39882
0x1537d6b1f95b7f69e92b8f00f2c5a26eefdad36d,39593
0x6d81ab59cbb1f757b0346099b1c5bbf4a9bc2852,38160
0x058e5acc8661aa40437cb6199eb691d56c5d7fb0,37989
0x1ff4c5235cf4a97d96d95a794cd88d0c71649725,37625
0xf3f57ff85386330521ae654edaa900bba5194845,36067
0x0f49218c9c37b6a20aadddbfc8cecd657d0303f0,35358
0xd1a0931de7a002d0d47117404bcbb3443fafb618,34939
0xc040162069fee0485572aad993149b6df9d7ff76,33883
0x6edb7d32cc26127e4cbe4f300bdef4fcf7f95658,33402
0xb226f469841d193829fa54661eac4ba5ce91a41e,33143
0xe78dfd0bc41dade7ad0ec034837d735d76cac442,32890
0x8dad4eb7fdd896eecc8439f1125bcc4aace98acb,32562
0xd116eb729373a6fcb016313ad3e4911135f3f5d7,32202
0xbd4231427419c835f76b87f4b4d5118fa67a8c0a,32040
0x7ce8e9764f3df53085885b0635b9ad6aaa637f0d,31962
